longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price,facilities
-74.0536599,4.660556,6,4,237.0,23,3,3,2600000.0,7,14000000,"['Acceso Pavimentado', 'Alarma', 'Amoblado', 'Ascensor', 'Balcón', 'Baño Auxiliar', 'Baño Independiente', 'Cerca de Zona Urbana', 'Chimenea', 'Circuito cerrado de TV', 'Citófono', 'Closet', 'Cochera', 'Cocina Integral', 'Colegios / Universidades', 'Cuarto de servicio', 'Depósito / Bodega', 'En conjunto cerrado', 'Estudio', 'Garaje(s)', 'Gimnasio', 'Hall de Alcobas', 'Instalación de gas', 'Jardín', 'Parqueadero Visitantes', 'Parques cercanos', 'Piso en Baldosa /  Mármol', 'Portería / Recepción', 'Salón Comunal', 'Sobre vía principal', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Vista panorámica', 'Zona de lavandería', 'Zona Infantil', 'Zona Residencial', 'Zonas Verdes']"
-74.046430954651,4.6790714709022,5,1,28.0,4,1,0,0.0,3,2200000,"['Acceso Pavimentado', 'Ascensor', 'Baño Independiente', 'Cerca de Zona Urbana', 'Circuito cerrado de TV', 'Closet', 'Cocina Integral', 'Colegios / Universidades', 'En conjunto cerrado', 'Estudio', 'Jardín', 'Oficina de negocios', 'Parqueadero Visitantes', 'Parques cercanos', 'Portería / Recepción', 'Sala de internet', 'Salón Comunal', 'Sobre vía principal', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Vigilancia', 'Vista panorámica', 'Vivienda Multifamiliar', 'Zona Comercial', 'Zona de lavandería', 'Zona Residencial', 'Zonas Verdes']"
-74.0483977,4.700991,5,2,97.0,12,2,2,0.0,0,4500000,[]
-74.0457215,4.6715543,6,4,167.0,23,3,2,0.0,3,11900000,"['Ascensor', 'Barra estilo americano', 'Baño Auxiliar', 'Caldera', 'Calentador', 'Cancha de Squash', 'Chimenea', 'Circuito cerrado de TV', 'Citófono', 'Cocina Integral', 'Colegios / Universidades', 'Cuarto de servicio', 'Depósito / Bodega', 'Estudio', 'Gimnasio', 'Instalación de gas', 'Parques cercanos', 'Planta Eléctrica', 'Portería / Recepción', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona de lavandería', 'Zona Residencial']"
-74.050726890564,4.7004290297587,5,2,78.0,23,3,1,0.0,3,4000000,"['Acceso Pavimentado', 'Ascensor', 'Baño Independiente', 'Calentador', 'Closet', 'Cocina Integral', 'Depósito / Bodega', 'En conjunto cerrado', 'Instalación de gas', 'Parques cercanos', 'Portería / Recepción', 'Salón Comunal', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Zona de lavandería']"
-74.0458014,4.7175848,5,2,74.0,12,2,1,530000.0,2,3500000,[]
-74.054095444295,4.661083987291,6,2,138.0,31,2,1,1100000.0,0,4600000,"['Ascensor', 'Cerca centro comercial', 'Closet', 'Cocina Integral', 'Instalación de gas', 'Piso en Madera', 'Salón Comunal', 'Shut de basura', 'Trans. Público cercano', 'Zona Residencial']"
-74.0492104,4.6728605,5,3,138.0,23,3,2,0.0,4,8000000,"['Acceso Pavimentado', 'Amoblado', 'Ascensor', 'Baño Independiente', 'Calentador', 'Citófono', 'Closet', 'Cocina Integral', 'En conjunto cerrado', 'Estudio', 'Hall de Alcobas', 'Instalación de gas', 'Parqueadero Visitantes', 'Parques cercanos', 'Portería / Recepción', 'Salón Comunal', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Zona de lavandería', 'Zona Residencial']"
-74.0541928,4.6579608,5,1,37.0,23,1,1,0.0,1,3500000,"['Amoblado', 'Ascensor', 'Calentador', 'Citófono', 'Cocina Integral', 'Colegios / Universidades', 'Estudio', 'Garaje(s)', 'Parques cercanos', 'Portería / Recepción', 'Salón Comunal', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Zona de lavandería', 'Zona Residencial']"
-74.04572725296,4.6714724554658,6,3,167.0,23,3,3,3300000.0,3,8600000,"['Ascensor', 'Baño Auxiliar', 'Baño Independiente', 'Chimenea', 'Cocina Integral', 'Colegios / Universidades', 'Cuarto de servicio', 'Depósito / Bodega', 'Estudio', 'Gimnasio', 'Parqueadero Visitantes', 'Parques cercanos', 'Planta Eléctrica', 'Portería / Recepción', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona de lavandería']"
-74.0496226,4.6525508,6,3,99.0,31,2,2,1065000.0,0,3000000,"['Ascensor', 'Baño Auxiliar', 'Baño compartido', 'Calentador', 'Cerca a sector comercial', 'Chimenea', 'Citófono', 'Closet', 'Cocina Equipada', 'Cocina Integral', 'Comedor', 'Cuarto de servicio', 'Cómodas vias de acceso', 'En conjunto cerrado', 'En zona residencial', 'Estudio', 'Garaje / Parqueadero(s)', 'Garaje Cubierto', 'Hall de Alcobas', 'Parques cercanos', 'Piso en Madera', 'Portería / Vigilancia', 'Rio / Quebrada cercano(a)', 'Servicios independientes', 'Servicios Públicos', 'Sobre vía secundaria', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Ventilación Natural', 'Vigilancia 24x7', 'Vigilancia privada 24*7', 'Zona de lavandería', 'Zona Residencial']"
-74.046217962891,4.662271309131,6,5,462.0,4,3,5,4700000.0,0,25000000,"['Acceso Pavimentado', 'Ascensor', 'Barra estilo americano', 'Baño Independiente', 'Calentador', 'Circuito cerrado de TV', 'Citófono', 'Closet', 'Cocina Equipada', 'Cocina Integral', 'Cocina tipo Americano', 'Cuarto de servicio', 'Depósito / Bodega', 'Despensa', 'En conjunto cerrado', 'Estudio', 'Gimnasio', 'Hall de Alcobas', 'Instalación de gas', 'Parqueadero Visitantes', 'Parques cercanos', 'Portería / Recepción', 'Salón Comunal', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Vigilancia', 'Vista panorámica', 'Zona de lavandería', 'Zona Residencial']"
-74.0447284,4.6675608,6,2,71.0,4,1,2,0.0,7,7107000,"['Ascensor', 'Baño Auxiliar', 'Calentador', 'Circuito cerrado de TV', 'Citófono', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'Depósito / Bodega', 'Duplex', 'Estudio', 'Garaje(s)', 'Instalación de gas', 'Oficina de negocios', 'Parqueadero Visitantes', 'Parques cercanos', 'Portería / Recepción', 'Sala de internet', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Vigilancia', 'Vista panorámica', 'Zona de lavandería', 'Zona Residencial']"
-74.0747102,4.5921609,2,1,31.0,4,1,0,0.0,0,2100000,"['Acceso Pavimentado', 'Alcantarillado', 'Amoblado', 'Ascensor', 'Cocina Integral', 'Colegios / Universidades', 'Depósito / Bodega', 'Gimnasio', 'Parques cercanos', 'Sensor de movimiento', 'Servicios Públicos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona de BBQ', 'Zonas Verdes']"
-74.0829385,4.7496203,3,2,57.0,23,3,1,0.0,2,1500000,"['Baño Auxiliar', 'Calentador', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'Garaje(s)', 'Hall de Alcobas', 'Jardín', 'Parques cercanos', 'Piso en Baldosa /  Mármol', 'Portería / Recepción', 'Sobre vía principal', 'Trans. Público cercano', 'Vigilancia', 'Zona de lavandería', 'Zona Infantil', 'Zona Residencial', 'Zonas Verdes']"
-74.1011947,4.6926316,3,1,40.0,23,2,0,0.0,3,1200000,"['Parques cercanos', 'Supermercados / C.Comerciales', 'Trans. Público cercano']"
-74.0466405,4.7025804,5,3,138.0,12,3,2,0.0,0,7500000,"['Ascensor', 'Balcón', 'Barra estilo americano', 'Baño Auxiliar', 'Circuito cerrado de TV', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'Cuarto de servicio', 'Depósito / Bodega', 'En conjunto cerrado', 'Estudio', 'Garaje(s)', 'Gimnasio', 'Hall de Alcobas', 'Instalación de gas', 'Parqueadero Visitantes', 'Parques cercanos', 'Planta Eléctrica', 'Portería / Recepción', 'Salón Comunal', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Vigilancia', 'Vista panorámica', 'Zona de lavandería', 'Zona Infantil', 'Zona Residencial', 'Zonas Verdes']"
-74.071068,4.616395,4,1,49.0,12,1,1,0.0,0,2460420,"['Ascensor', 'Calentador', 'Cancha de Squash', 'Chimenea', 'Citófono', 'Closet', 'Cocina Equipada', 'Cocina Integral', 'Comedor', 'Cómodas vias de acceso', 'Depósito / Bodega', 'En zona residencial', 'Garaje / Parqueadero(s)', 'Garaje Cubierto', 'Gimnasio', 'Parqueadero Visitantes', 'Parques cercanos', 'Piscina', 'Planta Eléctrica', 'Portería / Recepción', 'Portería / Vigilancia', 'Salón Comunal', 'Sauna / Turco / Jacuzzi', 'Servicios independientes', 'Servicios Públicos', 'Sobre vía secundaria', 'Trans. Público cercano', 'Ubicada en edificio', 'Ventilación Natural', 'Vigilancia 24x7', 'Vigilancia privada 24*7', 'Zona Residencial']"
