longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price
-74.0657665,4.7277412,5.0,2.0,82.0,12.0,3.0,2.0,628800.0,0.0,3800000.0
-74.056353755898,4.6754233094846,6.0,2.0,114.0,23.0,2.0,2.0,0.0,4.0,6500000.0
-74.125411326407,4.62183275889,4.0,2.0,72.0,4.0,3.0,1.0,0.0,14.0,2000000.0
-74.0462031,4.6986137,6.0,2.0,62.0,12.0,1.0,2.0,750000.0,4.0,1850000.0
-74.0672945,4.6964464,5.0,3.0,70.0,31.0,3.0,1.0,646000.0,5.0,2854000.0
-74.0390976,4.7613717,6.0,5.0,150.0,23.0,3.0,2.0,0.0,3.0,6800000.0
-74.0577245,4.6759963,5.0,2.0,45.0,0.0,1.0,1.0,0.0,3.0,3500000.0
-74.040863678418,4.6681117384497,6.0,2.0,150.69,12.0,2.0,2.0,1500000.0,0.0,11500000.0
-74.0520912,4.6978171,6.0,3.0,117.0,0.0,2.0,2.0,1100000.0,3.0,6400000.0
-74.0669961,4.6193656,4.0,3.0,86.05,4.0,2.0,2.0,500000.0,9.0,3500000.0
-74.0524685,4.6802024,6.0,2.0,67.0,0.0,2.0,1.0,900000.0,7.0,4900000.0
-74.050805,4.675366,6.0,3.0,201.0,4.0,3.0,3.0,1620000.0,1.0,15500000.0
-74.0226678,4.6891731,6.0,5.0,350.0,23.0,5.0,3.0,1250000.0,15.0,20000000.0
-74.0538397,4.7042101,6.0,4.0,262.0,12.0,3.0,2.0,0.0,0.0,14000000.0
-74.0833182,4.5761218,6.0,1.0,45.0,12.0,1.0,1.0,0.0,0.0,3950000.0
-74.0316048,4.6883879,6.0,1.0,50.0,4.0,1.0,1.0,0.0,5.0,5000000.0
-74.0415483,4.6885949,6.0,4.0,134.0,23.0,2.0,2.0,900000.0,4.0,3800000.0
-74.0350336,4.729987,4.0,2.0,66.0,31.0,3.0,1.0,0.0,0.0,2200000.0
-74.0459403,4.6701839,6.0,3.0,200.0,23.0,3.0,3.0,0.0,3.0,11000000.0
-74.1192102,4.6606645,4.0,2.0,35.0,0.0,1.0,0.0,350000.0,0.0,1350000.0
-74.0458477,4.6685464,6.0,3.0,120.0,4.0,2.0,2.0,950000.0,0.0,14000000.0
-74.0490641,4.695742,6.0,2.0,60.0,4.0,1.0,1.0,0.0,3.0,3600000.0
-74.104183,4.7372905,3.0,2.0,57.0,23.0,3.0,0.0,131000.0,0.0,1200000.0
-74.043049,4.7046358,6.0,1.0,60.0,31.0,1.0,1.0,0.0,4.0,3200000.0
-74.0675019,4.6461449,4.0,1.0,21.0,0.0,1.0,1.0,150000.0,5.0,1350000.0
-74.1917966,4.6204216,5.0,3.0,240.0,4.0,3.0,3.0,800000.0,0.0,9000000.0
-74.037316885794,4.752061457723,4.0,2.0,81.0,4.0,3.0,2.0,400000.0,15.0,2400000.0
-74.1137188,4.6538621,4.0,4.0,150.0,23.0,4.0,1.0,0.0,6.0,5000000.0
-74.05641,4.6705531,6.0,2.0,148.0,4.0,3.0,2.0,1200000.0,5.0,7200000.0
-74.0352883,4.6968907,6.0,2.0,121.0,23.0,3.0,2.0,885000.0,2.0,2600000.0
-74.053,4.694,6.0,3.0,162.0,12.0,3.0,3.0,1300000.0,3.0,6000000.0
-74.0471215,4.67581,6.0,2.0,64.0,12.0,2.0,1.0,0.0,4.0,5500000.0
-74.0762333,4.712811,5.0,3.0,74.0,31.0,2.0,2.0,0.0,3.0,3000000.0
-74.0743447,4.7042851,5.0,3.0,110.0,4.0,3.0,1.0,0.0,0.0,3000000.0
-74.0487713,4.7065862,6.0,3.0,116.0,23.0,3.0,2.0,960000.0,6.0,4200000.0
-74.0431856,4.6776832,6.0,3.0,170.0,4.0,3.0,2.0,1015000.0,0.0,10900000.0
-74.0554402,4.6851802,6.0,2.0,65.0,23.0,2.0,2.0,700000.0,9.0,3100000.0
-74.0574622,4.6754868,6.0,2.0,117.0,23.0,2.0,2.0,0.0,5.0,6200000.0
-74.0587849,4.6481379,4.0,3.0,170.0,0.0,3.0,1.0,823000.0,0.0,3760000.0
-74.0670329,4.7180551,4.0,2.0,144.0,12.0,3.0,2.0,400000.0,0.0,2400000.0
-74.0518589,4.6690575,6.0,4.0,147.0,31.0,3.0,2.0,867000.0,0.0,7083000.0
-74.1401447,4.6395037,3.0,1.0,33.0,4.0,2.0,0.0,0.0,0.0,1230000.0
-74.0395596,4.6976772,5.0,1.0,34.0,4.0,1.0,1.0,0.0,3.0,2450000.0
-74.041064202613,4.707401304774,6.0,4.0,250.0,23.0,4.0,3.0,0.0,4.0,8500000.0
-74.1361431,4.7244603,4.0,2.0,60.0,12.0,3.0,1.0,0.0,0.0,1650000.0
-74.0395596,4.6976772,5.0,2.0,60.0,12.0,1.0,1.0,0.0,4.0,3350000.0
-74.0505305,4.6793933,6.0,1.0,57.0,31.0,1.0,1.0,450000.0,0.0,2900000.0
-74.054143230688,4.6737611718969,6.0,3.0,99.0,12.0,2.0,2.0,0.0,6.0,6800000.0
-74.1226348,4.6595391,4.0,3.0,93.0,4.0,3.0,1.0,0.0,11.0,3500000.0
-74.0566105,4.7033984,5.0,2.0,85.0,12.0,2.0,1.0,500000.0,0.0,3500000.0
-74.0910006,4.6979408,3.0,1.0,70.0,31.0,3.0,0.0,0.0,1.0,1400000.0
-74.0513251,4.6995545,5.0,2.0,67.0,12.0,2.0,1.0,0.0,5.0,2950000.0
-74.0472017,4.6580364,6.0,5.0,233.0,23.0,3.0,3.0,2032600.0,0.0,7450000.0
-74.042315,4.6935112,5.0,2.0,85.0,12.0,2.0,2.0,0.0,4.0,4200000.0
-74.0262678,4.7208485,6.0,5.0,276.0,23.0,3.0,3.0,2450000.0,8.0,11500000.0
-74.0806416,4.7025164,4.0,2.0,138.0,31.0,3.0,1.0,0.0,2.0,3200000.0
-74.0600549,4.6489752,4.0,1.0,50.0,31.0,1.0,0.0,500000.0,0.0,2430000.0
-74.1056633,4.6758574,4.0,2.0,79.2,31.0,3.0,1.0,0.0,5.0,1900000.0
-74.045067,4.685199,6.0,3.0,76.0,23.0,3.0,2.0,515000.0,0.0,3960000.0
-74.0874658,4.678494,3.0,1.0,50.0,0.0,1.0,0.0,0.0,1.0,850000.0
-74.0664912,4.6190383,3.0,1.0,28.0,4.0,1.0,0.0,0.0,0.0,2400000.0
-74.045781347221,4.7003527731884,6.0,3.0,148.0,23.0,3.0,2.0,814100.0,4.0,4800000.0
-74.0563453,4.6882855,6.0,3.0,89.0,12.0,2.0,2.0,0.0,4.0,4900000.0
-74.0563453,4.6882855,6.0,3.0,89.0,12.0,2.0,2.0,0.0,4.0,4900000.0
-74.0243942,4.7148422,6.0,4.0,317.0,23.0,4.0,3.0,0.0,1.0,11000000.0
-74.0455838,4.6799316,6.0,4.0,182.0,0.0,3.0,1.0,1050000.0,0.0,5000000.0
-74.0617716,4.6583458,4.0,1.0,44.0,4.0,1.0,1.0,0.0,12.0,2250000.0
-74.037,4.707,6.0,3.0,146.0,31.0,3.0,2.0,997095.0,11.0,6200000.0
-74.0461346,4.6916015,6.0,2.0,56.0,12.0,1.0,2.0,500000.0,0.0,3500000.0
-74.029001346558,4.707750264568,5.0,3.0,111.6,12.0,2.0,2.0,640000.0,3.0,3800000.0
-74.125883414576,4.589014244654,3.0,1.0,39.0,12.0,1.0,0.0,0.0,0.0,1250000.0
-74.0530762,4.6823351,6.0,2.0,58.0,4.0,1.0,1.0,0.0,0.0,3750000.0
