longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price,facilities
-74.0483977,4.700991,5,2,97.0,12,2,2,0.0,0,4500000,[]
-74.0556926,4.6875059,6,1,42.0,12,1,1,0.0,5,2800000,"['Ascensor', 'Balcón', 'Caldera', 'Calentador', 'Citófono', 'Cocina tipo Americano', 'Colegios / Universidades', 'Depósito / Bodega', 'Instalación de gas', 'Loft', 'Parqueadero Visitantes', 'Parques cercanos', 'Portería / Recepción', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona de lavandería']"
-74.0525124,4.6759273,6,4,116.0,23,4,2,0.0,7,5500000,"['Baño Auxiliar', 'Calentador', 'Chimenea', 'Citófono', 'Cocina Integral', 'Cuarto de servicio', 'Depósito / Bodega', 'Hall de Alcobas', 'Instalación de gas', 'Patio', 'Zona de lavandería']"
-74.0492104,4.6728605,5,3,138.0,23,3,2,0.0,4,8000000,"['Acceso Pavimentado', 'Amoblado', 'Ascensor', 'Baño Independiente', 'Calentador', 'Citófono', 'Closet', 'Cocina Integral', 'En conjunto cerrado', 'Estudio', 'Hall de Alcobas', 'Instalación de gas', 'Parqueadero Visitantes', 'Parques cercanos', 'Portería / Recepción', 'Salón Comunal', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Zona de lavandería', 'Zona Residencial']"
-74.050726890564,4.7004290297587,5,2,78.0,23,3,1,0.0,3,4000000,"['Acceso Pavimentado', 'Ascensor', 'Baño Independiente', 'Calentador', 'Closet', 'Cocina Integral', 'Depósito / Bodega', 'En conjunto cerrado', 'Instalación de gas', 'Parques cercanos', 'Portería / Recepción', 'Salón Comunal', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Zona de lavandería']"
-74.0458014,4.7175848,5,2,74.0,12,2,1,530000.0,2,3500000,[]
-74.0536599,4.660556,6,4,237.0,23,3,3,2600000.0,7,14000000,"['Acceso Pavimentado', 'Alarma', 'Amoblado', 'Ascensor', 'Balcón', 'Baño Auxiliar', 'Baño Independiente', 'Cerca de Zona Urbana', 'Chimenea', 'Circuito cerrado de TV', 'Citófono', 'Closet', 'Cochera', 'Cocina Integral', 'Colegios / Universidades', 'Cuarto de servicio', 'Depósito / Bodega', 'En conjunto cerrado', 'Estudio', 'Garaje(s)', 'Gimnasio', 'Hall de Alcobas', 'Instalación de gas', 'Jardín', 'Parqueadero Visitantes', 'Parques cercanos', 'Piso en Baldosa /  Mármol', 'Portería / Recepción', 'Salón Comunal', 'Sobre vía principal', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Vista panorámica', 'Zona de lavandería', 'Zona Infantil', 'Zona Residencial', 'Zonas Verdes']"
-74.054095444295,4.661083987291,6,2,138.0,31,2,1,1100000.0,0,4600000,"['Ascensor', 'Cerca centro comercial', 'Closet', 'Cocina Integral', 'Instalación de gas', 'Piso en Madera', 'Salón Comunal', 'Shut de basura', 'Trans. Público cercano', 'Zona Residencial']"
-74.0541928,4.6579608,5,1,37.0,23,1,1,0.0,1,3500000,"['Amoblado', 'Ascensor', 'Calentador', 'Citófono', 'Cocina Integral', 'Colegios / Universidades', 'Estudio', 'Garaje(s)', 'Parques cercanos', 'Portería / Recepción', 'Salón Comunal', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Zona de lavandería', 'Zona Residencial']"
-74.0457215,4.6715543,6,4,167.0,23,3,2,0.0,3,11900000,"['Ascensor', 'Barra estilo americano', 'Baño Auxiliar', 'Caldera', 'Calentador', 'Cancha de Squash', 'Chimenea', 'Circuito cerrado de TV', 'Citófono', 'Cocina Integral', 'Colegios / Universidades', 'Cuarto de servicio', 'Depósito / Bodega', 'Estudio', 'Gimnasio', 'Instalación de gas', 'Parques cercanos', 'Planta Eléctrica', 'Portería / Recepción', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona de lavandería', 'Zona Residencial']"
-74.0447284,4.6675608,6,2,71.0,4,1,2,0.0,7,7107000,"['Ascensor', 'Baño Auxiliar', 'Calentador', 'Circuito cerrado de TV', 'Citófono', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'Depósito / Bodega', 'Duplex', 'Estudio', 'Garaje(s)', 'Instalación de gas', 'Oficina de negocios', 'Parqueadero Visitantes', 'Parques cercanos', 'Portería / Recepción', 'Sala de internet', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Vigilancia', 'Vista panorámica', 'Zona de lavandería', 'Zona Residencial']"
-74.1011947,4.6926316,3,1,40.0,23,2,0,0.0,3,1200000,"['Parques cercanos', 'Supermercados / C.Comerciales', 'Trans. Público cercano']"
-74.0482921,4.6934088,6,4,330.0,23,4,4,0.0,0,13000000,"['Balcón', 'Barra estilo americano', 'Baño Auxiliar', 'Baño compartido', 'Baños comunales', 'Baños Públicos', 'Caldera', 'Calentador', 'Chimenea', 'Closet', 'Cocina Equipada', 'Cocina Integral', 'Cocina tipo Americano', 'Comedor', 'Depósito / Bodega', 'Estudio', 'Hall de Alcobas', 'Instalación de gas', 'Patio', 'Piso en Baldosa /  Mármol', 'Piso en Madera', 'Sauna / Turco / Jacuzzi', 'Seguridad', 'Terraza', 'Ventilación Natural', 'Vigilancia 24x7', 'Vigilancia privada 24*7', 'Zona de lavandería']"
-74.058085900758,4.673694015794,5,2,77.0,31,1,1,950000.0,0,2650000,"['Amoblado', 'Ascensor', 'Calentador', 'Cerca centro comercial', 'Citófono', 'Closet', 'Cocina Equipada', 'Cocina Integral', 'Duplex', 'Trans. Público cercano', 'Zona Residencial']"
-74.1578791,4.6919035,3,1,47.0,4,3,0,163400.0,0,1050000,"['Calentador', 'Garaje(s)', 'Ventilación Natural', 'Vigilancia 24x7', 'Vigilancia privada 24*7', 'Zona de BBQ']"
